epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.2454,1.27137,5.43171,0.00764,0.47425,0.11946,0.09192,0.07122,0.89524,4.63015,0.00574,0.0049635,0.0016545,0.0049635,0.0016545,0.0718735,0.0685645,0.0049635,0.0016545
2,82.4332,1.24036,3.27728,0.0072,0.49801,0.46006,0.45618,0.36412,0.83453,2.79114,0.00543,0.00996242,0.00332081,0.00996242,0.00332081,0.0435391,0.0368974,0.00996242,0.00332081
3,116.527,1.20665,2.25965,0.00701,0.63687,0.54656,0.58371,0.45725,0.85246,2.04185,0.00554,0.014957,0.00498567,0.014957,0.00498567,0.0152003,0.00522898,0.014957,0.00498567
4,151.149,1.19161,1.74195,0.00679,0.76704,0.65829,0.73287,0.58597,0.78557,1.3365,0.00517,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512
5,186.068,1.13404,1.36041,0.00661,0.76237,0.72466,0.79236,0.63902,0.77171,1.04913,0.00507,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132
6,222.162,1.13006,1.18047,0.00656,0.77324,0.75691,0.81002,0.65295,0.78172,0.86697,0.00526,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
7,257.721,1.10981,1.05013,0.0064,0.78047,0.7903,0.82364,0.68205,0.78301,0.79655,0.00509,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048
8,293.758,1.07193,0.94021,0.00617,0.78538,0.77002,0.83038,0.69635,0.67822,0.74674,0.0045,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345
9,330.078,1.07747,0.88723,0.00619,0.81594,0.81767,0.86156,0.70381,0.73387,0.62611,0.00481,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534
10,366.226,1.0622,0.83654,0.00593,0.85217,0.82184,0.86381,0.7225,0.71799,0.60485,0.0046,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616
11,401.93,1.0545,0.80004,0.00597,0.88356,0.8174,0.88308,0.73153,0.68126,0.54391,0.00452,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592
12,438.233,1.04671,0.76102,0.00592,0.85997,0.82678,0.87477,0.73067,0.7039,0.54277,0.00461,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461
13,474.345,1.02755,0.74116,0.00593,0.87183,0.83748,0.88902,0.74609,0.67449,0.47707,0.00434,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224
14,510.095,1.01909,0.71389,0.00581,0.88666,0.82197,0.88357,0.73862,0.70246,0.52376,0.0046,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883
15,546.41,1.00992,0.70887,0.00573,0.88005,0.83484,0.89036,0.75051,0.64853,0.5173,0.00433,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437
16,582.704,0.99626,0.68764,0.00573,0.88486,0.85803,0.89301,0.75383,0.68163,0.46221,0.00445,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886
17,618.579,0.98895,0.66404,0.00561,0.89061,0.86284,0.88869,0.75653,0.67222,0.4819,0.00428,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233
18,654.749,0.99334,0.65195,0.00561,0.88711,0.86697,0.90557,0.7739,0.63768,0.44162,0.00424,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477
19,690.054,0.96957,0.64078,0.0055,0.89883,0.85619,0.89567,0.75128,0.67672,0.46875,0.00443,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262
20,725.816,0.97268,0.63905,0.00548,0.86812,0.86023,0.89408,0.77674,0.63959,0.45739,0.00412,0.0144198,0.00480661,0.0144198,0.00480661,0.0144198,0.00480661,0.0144198,0.00480661
21,761.567,0.95633,0.61469,0.00535,0.90637,0.83583,0.89478,0.77781,0.60115,0.44052,0.00396,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603
22,797.041,0.95334,0.60997,0.00538,0.89851,0.86303,0.89825,0.7745,0.62411,0.42121,0.00409,0.0142933,0.00476445,0.0142933,0.00476445,0.0142933,0.00476445,0.0142933,0.00476445
23,833.014,0.94214,0.59971,0.00528,0.90037,0.87127,0.89714,0.76805,0.62922,0.42934,0.00415,0.0142257,0.00474189,0.0142257,0.00474189,0.0142257,0.00474189,0.0142257,0.00474189
24,868.369,0.94658,0.59029,0.00528,0.9042,0.86357,0.90009,0.77629,0.6012,0.41295,0.00394,0.0141551,0.00471835,0.0141551,0.00471835,0.0141551,0.00471835,0.0141551,0.00471835
25,903.614,0.94153,0.59147,0.00528,0.90013,0.88215,0.9155,0.78446,0.60642,0.41032,0.00401,0.0140816,0.00469386,0.0140816,0.00469386,0.0140816,0.00469386,0.0140816,0.00469386
26,939.665,0.93622,0.57264,0.00522,0.90351,0.86656,0.90273,0.7764,0.63671,0.41573,0.00408,0.0140052,0.00466841,0.0140052,0.00466841,0.0140052,0.00466841,0.0140052,0.00466841
27,975.836,0.92652,0.56293,0.00518,0.89666,0.87832,0.90188,0.7872,0.57319,0.41529,0.00374,0.0139261,0.00464203,0.0139261,0.00464203,0.0139261,0.00464203,0.0139261,0.00464203
28,1011.9,0.92066,0.56994,0.00515,0.89188,0.88873,0.91113,0.78692,0.59755,0.42288,0.00397,0.0138441,0.00461471,0.0138441,0.00461471,0.0138441,0.00461471,0.0138441,0.00461471
29,1047.26,0.91993,0.5661,0.00515,0.89725,0.8581,0.9085,0.78273,0.62943,0.43357,0.00414,0.0137594,0.00458648,0.0137594,0.00458648,0.0137594,0.00458648,0.0137594,0.00458648
30,1082.51,0.91004,0.55849,0.00507,0.91765,0.86581,0.90769,0.7921,0.58609,0.39272,0.00377,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734
31,1118.21,0.90015,0.55058,0.00505,0.90364,0.86788,0.89899,0.77938,0.5963,0.39621,0.00389,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732
32,1154.4,0.90011,0.55142,0.00503,0.89954,0.87472,0.9077,0.79874,0.5692,0.37585,0.00373,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641
33,1190.2,0.89488,0.54169,0.005,0.91618,0.89676,0.92105,0.80844,0.57372,0.37185,0.0037,0.0133939,0.00446464,0.0133939,0.00446464,0.0133939,0.00446464,0.0133939,0.00446464
34,1226.04,0.88924,0.53171,0.00498,0.90162,0.8956,0.92232,0.79693,0.58534,0.37592,0.00386,0.0132961,0.00443202,0.0132961,0.00443202,0.0132961,0.00443202,0.0132961,0.00443202
35,1261.51,0.88332,0.52722,0.00496,0.88384,0.90987,0.91542,0.79996,0.57158,0.36503,0.00381,0.0131957,0.00439856,0.0131957,0.00439856,0.0131957,0.00439856,0.0131957,0.00439856
36,1297.49,0.8866,0.53005,0.00494,0.92033,0.88751,0.91943,0.80889,0.56333,0.37177,0.00372,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428
37,1333.16,0.87585,0.52553,0.00495,0.90945,0.88705,0.91277,0.80337,0.56232,0.37413,0.0037,0.0129876,0.0043292,0.0129876,0.0043292,0.0129876,0.0043292,0.0129876,0.0043292
38,1369.69,0.87456,0.51343,0.00487,0.91407,0.89726,0.91458,0.79943,0.57002,0.37358,0.00372,0.01288,0.00429332,0.01288,0.00429332,0.01288,0.00429332,0.01288,0.00429332
39,1405.75,0.87174,0.5148,0.00484,0.92399,0.89373,0.9194,0.80794,0.55848,0.35832,0.00367,0.01277,0.00425667,0.01277,0.00425667,0.01277,0.00425667,0.01277,0.00425667
40,1442.21,0.85337,0.49589,0.00481,0.92786,0.88968,0.92355,0.81249,0.54933,0.36387,0.00363,0.0126578,0.00421925,0.0126578,0.00421925,0.0126578,0.00421925,0.0126578,0.00421925
41,1477.76,0.85843,0.50836,0.00487,0.94159,0.87531,0.91824,0.8134,0.54953,0.36107,0.00362,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811
42,1513.08,0.86634,0.49941,0.00474,0.94168,0.88994,0.92691,0.81618,0.54933,0.35347,0.00356,0.0124266,0.00414222,0.0124266,0.00414222,0.0124266,0.00414222,0.0124266,0.00414222
43,1549.8,0.85327,0.49355,0.00485,0.92482,0.88309,0.91156,0.80898,0.53975,0.3636,0.00348,0.0123079,0.00410262,0.0123079,0.00410262,0.0123079,0.00410262,0.0123079,0.00410262
44,1585.9,0.84834,0.48747,0.00472,0.91197,0.89649,0.92872,0.81975,0.54373,0.3491,0.00357,0.012187,0.00406234,0.012187,0.00406234,0.012187,0.00406234,0.012187,0.00406234
45,1621.76,0.84902,0.49913,0.00474,0.92945,0.8732,0.91629,0.818,0.53436,0.35475,0.00351,0.0120641,0.00402138,0.0120641,0.00402138,0.0120641,0.00402138,0.0120641,0.00402138
46,1657.42,0.85664,0.49144,0.00471,0.93499,0.87714,0.91631,0.81695,0.52207,0.3407,0.00348,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977
47,1693.19,0.83489,0.47797,0.00461,0.9361,0.88261,0.91608,0.81977,0.52493,0.34665,0.00342,0.0118125,0.00393752,0.0118125,0.00393752,0.0118125,0.00393752,0.0118125,0.00393752
48,1730.18,0.85171,0.48896,0.00458,0.93316,0.86414,0.91806,0.81435,0.53872,0.36229,0.00353,0.0116839,0.00389464,0.0116839,0.00389464,0.0116839,0.00389464,0.0116839,0.00389464
49,1766.58,0.82807,0.47423,0.00459,0.93336,0.88609,0.9207,0.81833,0.53547,0.34616,0.00351,0.0115535,0.00385117,0.0115535,0.00385117,0.0115535,0.00385117,0.0115535,0.00385117
50,1803.91,0.83399,0.47595,0.00458,0.91482,0.88855,0.92227,0.8194,0.52597,0.33949,0.00349,0.0114214,0.00380712,0.0114214,0.00380712,0.0114214,0.00380712,0.0114214,0.00380712
51,1840.71,0.82827,0.47744,0.00461,0.91357,0.90921,0.92674,0.81927,0.53508,0.33666,0.00351,0.0112875,0.0037625,0.0112875,0.0037625,0.0112875,0.0037625,0.0112875,0.0037625
52,1876.52,0.82372,0.46137,0.00455,0.91692,0.89403,0.92076,0.81929,0.53247,0.35214,0.00346,0.011152,0.00371734,0.011152,0.00371734,0.011152,0.00371734,0.011152,0.00371734
53,1912.63,0.83848,0.47082,0.00464,0.93182,0.89341,0.92188,0.82095,0.52923,0.34471,0.00349,0.011015,0.00367166,0.011015,0.00367166,0.011015,0.00367166,0.011015,0.00367166
54,1948.5,0.81973,0.46229,0.00452,0.93009,0.90208,0.9289,0.8269,0.51933,0.33863,0.00338,0.0108764,0.00362547,0.0108764,0.00362547,0.0108764,0.00362547,0.0108764,0.00362547
55,1986.04,0.81686,0.46369,0.00457,0.92328,0.8765,0.91381,0.8202,0.5135,0.34322,0.00339,0.0107364,0.0035788,0.0107364,0.0035788,0.0107364,0.0035788,0.0107364,0.0035788
56,2022.92,0.81713,0.46764,0.0045,0.90744,0.89899,0.91605,0.82324,0.51547,0.33202,0.00336,0.010595,0.00353167,0.010595,0.00353167,0.010595,0.00353167,0.010595,0.00353167
57,2060.13,0.81355,0.44855,0.00444,0.92403,0.89519,0.92301,0.82339,0.53376,0.33997,0.00345,0.0104523,0.0034841,0.0104523,0.0034841,0.0104523,0.0034841,0.0104523,0.0034841
58,2094.6,0.80973,0.43971,0.00442,0.91852,0.91094,0.92099,0.83118,0.50892,0.33664,0.00332,0.0103083,0.00343611,0.0103083,0.00343611,0.0103083,0.00343611,0.0103083,0.00343611
59,2131.05,0.801,0.43374,0.00444,0.93839,0.8997,0.93088,0.83234,0.52502,0.33638,0.00339,0.0101631,0.00338772,0.0101631,0.00338772,0.0101631,0.00338772,0.0101631,0.00338772
60,2168.46,0.80924,0.43707,0.0044,0.92367,0.9088,0.925,0.83262,0.50722,0.3284,0.00332,0.0100168,0.00333894,0.0100168,0.00333894,0.0100168,0.00333894,0.0100168,0.00333894
61,2205.63,0.79349,0.42511,0.00442,0.93293,0.91581,0.93351,0.83453,0.52356,0.32863,0.00338,0.00986945,0.00328982,0.00986945,0.00328982,0.00986945,0.00328982,0.00986945,0.00328982
62,2241.02,0.79136,0.42608,0.00439,0.92941,0.90317,0.92167,0.82893,0.52302,0.32902,0.00337,0.00972106,0.00324035,0.00972106,0.00324035,0.00972106,0.00324035,0.00972106,0.00324035
63,2277.53,0.78771,0.42454,0.00433,0.93732,0.9023,0.92639,0.83396,0.51052,0.32375,0.00333,0.00957173,0.00319058,0.00957173,0.00319058,0.00957173,0.00319058,0.00957173,0.00319058
64,2313.35,0.78348,0.41448,0.00429,0.93423,0.90459,0.92895,0.83892,0.50814,0.32999,0.00331,0.00942152,0.00314051,0.00942152,0.00314051,0.00942152,0.00314051,0.00942152,0.00314051
65,2349.22,0.78315,0.42019,0.00427,0.94388,0.89262,0.92666,0.83393,0.50838,0.33786,0.00331,0.00927051,0.00309017,0.00927051,0.00309017,0.00927051,0.00309017,0.00927051,0.00309017
66,2384.53,0.77529,0.41422,0.00426,0.94803,0.89164,0.93002,0.83829,0.50818,0.32504,0.00332,0.00911874,0.00303958,0.00911874,0.00303958,0.00911874,0.00303958,0.00911874,0.00303958
67,2420.46,0.77982,0.41131,0.00426,0.92654,0.91574,0.93304,0.83836,0.51068,0.32183,0.00333,0.00896631,0.00298877,0.00896631,0.00298877,0.00896631,0.00298877,0.00896631,0.00298877
68,2457.51,0.77416,0.40698,0.00425,0.939,0.90367,0.93365,0.84016,0.50491,0.32605,0.00329,0.00881326,0.00293775,0.00881326,0.00293775,0.00881326,0.00293775,0.00881326,0.00293775
69,2494.18,0.77066,0.40273,0.00422,0.91231,0.92096,0.93195,0.8411,0.50131,0.32238,0.00324,0.00865967,0.00288656,0.00865967,0.00288656,0.00865967,0.00288656,0.00865967,0.00288656
70,2531.34,0.78979,0.41124,0.00426,0.93668,0.90296,0.92711,0.83899,0.50834,0.31734,0.00329,0.0085056,0.0028352,0.0085056,0.0028352,0.0085056,0.0028352,0.0085056,0.0028352
71,2568.64,0.76271,0.39389,0.00413,0.90067,0.91608,0.92182,0.83456,0.50255,0.31139,0.00328,0.00835112,0.00278371,0.00835112,0.00278371,0.00835112,0.00278371,0.00835112,0.00278371
72,2606.22,0.76999,0.39891,0.00417,0.9372,0.90571,0.92203,0.83517,0.49857,0.31966,0.00325,0.00819631,0.0027321,0.00819631,0.0027321,0.00819631,0.0027321,0.00819631,0.0027321
73,2643.06,0.75628,0.39481,0.00415,0.93293,0.90474,0.92667,0.83735,0.49857,0.31673,0.00325,0.00804122,0.00268041,0.00804122,0.00268041,0.00804122,0.00268041,0.00804122,0.00268041
74,2680.27,0.76898,0.39629,0.00416,0.9295,0.91099,0.92697,0.83631,0.49885,0.31985,0.00325,0.00788593,0.00262864,0.00788593,0.00262864,0.00788593,0.00262864,0.00788593,0.00262864
75,2717.77,0.75467,0.39445,0.0041,0.91478,0.91811,0.92616,0.83673,0.49827,0.32348,0.00325,0.0077305,0.00257683,0.0077305,0.00257683,0.0077305,0.00257683,0.0077305,0.00257683
