model,fold,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
yolo26n,2,19,A16_FA-18,48,464,0.996,0.985,0.004,0.990469,0.995,0.957
yolo26n,2,20,A17_TU-95,60,216,0.986,0.962,0.014,0.973852,0.993,0.901
yolo26n,2,21,A18_KC-10,18,65,0.989,0.969,0.011,0.978898,0.984,0.925
yolo26n,2,22,A19_SU-34,56,210,0.95,0.976,0.05,0.962825,0.978,0.848
yolo26n,2,23,A20_SU-24,40,162,0.987,0.972,0.013,0.979443,0.984,0.874
yolo26n,2,24,FSC,14,70,0.688,0.631,0.312,0.658268,0.724,0.489
yolo26n,3,0,HM,26,26,0.974,0.923,0.026,0.947814,0.987,0.859
yolo26n,3,1,LQS,5,5,0.733,0.6,0.267,0.659865,0.612,0.573
yolo26n,3,2,QHS,46,174,0.715,0.751,0.285,0.732558,0.787,0.646
yolo26n,3,3,MS,239,419,0.866,0.802,0.134,0.832772,0.881,0.718
yolo26n,3,4,A1_SU-35,56,243,0.976,0.975,0.024,0.9755,0.986,0.909
yolo26n,3,5,A2_C-130,58,263,0.988,0.977,0.012,0.982469,0.985,0.939
yolo26n,3,6,A3_C-17,51,212,1.0,0.995,0.0,0.997494,0.995,0.92
yolo26n,3,7,A4_C-5,24,92,0.981,0.913,0.019,0.945779,0.952,0.873
yolo26n,3,8,A5_F-16,48,244,0.992,0.994,0.008,0.992999,0.995,0.905
yolo26n,3,9,A6_TU-160,17,73,1.0,0.996,0.0,0.997996,0.995,0.921
yolo26n,3,10,A7_E-3,31,141,0.933,0.979,0.067,0.955447,0.991,0.943
yolo26n,3,11,A8_B-52,34,174,1.0,0.987,0.0,0.993457,0.995,0.951
yolo26n,3,12,A9_P-3C,37,198,0.99,0.975,0.01,0.982443,0.994,0.916
yolo26n,3,13,A10_B-1B,33,160,0.996,0.969,0.004,0.982315,0.981,0.918
yolo26n,3,14,A11_E-8,29,91,0.934,0.901,0.066,0.917203,0.977,0.908
yolo26n,3,15,A12_TU-22,40,114,1.0,0.974,0.0,0.986829,0.994,0.917
yolo26n,3,16,A13_F-15,42,250,0.976,0.964,0.024,0.969963,0.989,0.882
yolo26n,3,17,A14_KC-135,73,281,0.985,0.964,0.015,0.974387,0.988,0.932
yolo26n,3,18,A15_F-22,23,113,0.908,0.966,0.092,0.936102,0.979,0.857
yolo26n,3,19,A16_FA-18,48,415,0.995,0.966,0.005,0.980286,0.992,0.933
yolo26n,3,20,A17_TU-95,61,240,0.989,0.971,0.011,0.979917,0.975,0.883
yolo26n,3,21,A18_KC-10,16,51,0.963,1.0,0.037,0.981151,0.98,0.919
yolo26n,3,22,A19_SU-34,55,148,0.95,0.907,0.05,0.928002,0.949,0.855
yolo26n,3,23,A20_SU-24,40,142,0.985,0.954,0.015,0.969252,0.984,0.898
yolo26n,3,24,FSC,13,105,0.809,0.445,0.191,0.574171,0.573,0.404
yolo26n,4,0,HM,33,34,1.0,0.94,0.0,0.969072,0.974,0.836
yolo26n,4,1,LQS,5,5,0.918,1.0,0.082,0.957247,0.995,0.922
yolo26n,4,2,QHS,44,126,0.809,0.802,0.191,0.805485,0.861,0.714
yolo26n,4,3,MS,238,447,0.849,0.843,0.151,0.845989,0.911,0.72
yolo26n,4,4,A1_SU-35,58,266,0.956,0.97,0.044,0.962949,0.981,0.903
yolo26n,4,5,A2_C-130,57,197,0.99,1.0,0.01,0.994975,0.995,0.926
yolo26n,4,6,A3_C-17,52,133,0.99,1.0,0.01,0.994975,0.995,0.934
yolo26n,4,7,A4_C-5,23,93,0.992,0.946,0.008,0.968454,0.984,0.91
yolo26n,4,8,A5_F-16,48,210,0.99,1.0,0.01,0.994975,0.995,0.891
yolo26n,4,9,A6_TU-160,17,63,0.986,1.0,0.014,0.992951,0.995,0.92
yolo26n,4,10,A7_E-3,32,122,0.997,0.984,0.003,0.990457,0.995,0.94
yolo26n,4,11,A8_B-52,33,179,0.996,0.989,0.004,0.992488,0.995,0.959
yolo26n,4,12,A9_P-3C,38,215,1.0,0.962,0.0,0.980632,0.994,0.941
yolo26n,4,13,A10_B-1B,32,164,0.994,0.993,0.006,0.9935,0.995,0.948
yolo26n,4,14,A11_E-8,29,47,0.976,0.979,0.024,0.977498,0.972,0.913
yolo26n,4,15,A12_TU-22,37,109,0.991,0.979,0.009,0.984963,0.995,0.913
yolo26n,4,16,A13_F-15,42,264,0.984,0.992,0.016,0.987984,0.995,0.879
yolo26n,4,17,A14_KC-135,71,257,0.979,0.996,0.021,0.987427,0.995,0.947
yolo26n,4,18,A15_F-22,23,104,0.995,1.0,0.005,0.997494,0.995,0.897
yolo26n,4,19,A16_FA-18,48,458,0.994,0.983,0.006,0.988469,0.995,0.938
yolo26n,4,20,A17_TU-95,60,234,0.997,1.0,0.003,0.998498,0.995,0.925
yolo26n,4,21,A18_KC-10,16,57,0.99,1.0,0.01,0.994975,0.995,0.917
yolo26n,4,22,A19_SU-34,55,201,0.96,0.956,0.04,0.957996,0.965,0.87
yolo26n,4,23,A20_SU-24,41,165,0.994,0.909,0.006,0.949602,0.953,0.814
yolo26n,4,24,FSC,13,93,0.916,0.495,0.084,0.642693,0.659,0.387
yolo26s,0,0,HM,15,16,0.934,0.938,0.066,0.935996,0.988,0.911
