label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
final_dataset_20260828_u84126,yolo26n,fold4,best.pt,final_dataset_20260828_u84126/yolo26n/fold4/weights/best.pt,2cab25a73b051ebee622e9d8aa2f862021b8f2e3c82897f3bcaed79190c05c00,3,MS,238,447,0.84900000,0.84300000,0.15100000,0.84598900,0.91100000,0.72000000
final_dataset_20260828_u84126,yolo26n,fold4,best.pt,final_dataset_20260828_u84126/yolo26n/fold4/weights/best.pt,2cab25a73b051ebee622e9d8aa2f862021b8f2e3c82897f3bcaed79190c05c00,24,FSC,13,93,0.91600000,0.49500000,0.08400000,0.64269300,0.65900000,0.38700000
final_dataset_20260828_u84126,yolo26s,fold4,best.pt,final_dataset_20260828_u84126/yolo26s/fold4/weights/best.pt,6bbfcdc267e6efdc1a4461425e63f3782df10bd9c4b881943c638c5ee4cc5f4b,3,MS,238,447,0.85900000,0.85800000,0.14100000,0.85850000,0.91800000,0.74400000
final_dataset_20260828_u84126,yolo26s,fold4,best.pt,final_dataset_20260828_u84126/yolo26s/fold4/weights/best.pt,6bbfcdc267e6efdc1a4461425e63f3782df10bd9c4b881943c638c5ee4cc5f4b,24,FSC,13,93,0.98200000,0.59600000,0.01800000,0.74179000,0.70800000,0.44600000
