epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.6055,1.26802,5.44079,0.00754,0.48391,0.11024,0.09628,0.07355,0.87249,4.81303,0.00588,0.0049635,0.0016545,0.0049635,0.0016545,0.0718735,0.0685645,0.0049635,0.0016545
2,81.2876,1.22698,3.23385,0.00715,0.49215,0.48658,0.47977,0.37909,0.82353,2.85458,0.00561,0.00996242,0.00332081,0.00996242,0.00332081,0.0435391,0.0368974,0.00996242,0.00332081
3,116.268,1.19347,2.24184,0.00694,0.63615,0.61376,0.64809,0.52186,0.81963,1.91872,0.00569,0.014957,0.00498567,0.014957,0.00498567,0.0152003,0.00522898,0.014957,0.00498567
4,152.358,1.16972,1.72443,0.00676,0.70769,0.7035,0.76806,0.6161,0.80977,1.38004,0.00559,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512
5,188.608,1.14557,1.36349,0.00663,0.69287,0.66311,0.73981,0.59496,0.79523,1.25648,0.00564,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132
6,224.541,1.11861,1.16808,0.00647,0.80353,0.73856,0.81864,0.66798,0.75715,0.95851,0.0053,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
7,259.994,1.09149,1.01519,0.00632,0.82893,0.80043,0.85381,0.70745,0.6958,0.74922,0.00487,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048
8,295.789,1.07678,0.9545,0.00608,0.83335,0.83216,0.86959,0.72546,0.71156,0.63004,0.00499,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345
9,331.801,1.07393,0.8762,0.00612,0.84946,0.85312,0.89434,0.75508,0.66224,0.56509,0.00464,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534
10,368.072,1.05222,0.82105,0.006,0.8772,0.83713,0.90415,0.76077,0.67485,0.53466,0.00476,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616
11,403.852,1.04122,0.77463,0.00589,0.856,0.87024,0.89432,0.75215,0.6382,0.52048,0.0045,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592
12,439.32,1.02499,0.75268,0.00587,0.91784,0.86959,0.91998,0.78291,0.6062,0.44191,0.00421,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461
13,474.742,1.01501,0.72376,0.00588,0.89192,0.84522,0.90615,0.77501,0.63039,0.51962,0.00436,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224
14,510.254,1.0053,0.70441,0.00575,0.89966,0.86402,0.91911,0.78717,0.62389,0.45185,0.00441,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883
15,546.42,0.98814,0.677,0.00558,0.92487,0.878,0.92573,0.77825,0.65129,0.42653,0.00451,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437
16,582.336,0.98654,0.68012,0.00559,0.9096,0.87515,0.92215,0.78782,0.61381,0.43465,0.00424,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886
17,618.392,0.9847,0.66437,0.00556,0.89383,0.90229,0.92376,0.78969,0.61507,0.43021,0.00424,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233
18,654.248,0.98359,0.65368,0.00555,0.92991,0.88651,0.93661,0.79603,0.64501,0.38646,0.00443,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477
19,690.313,0.972,0.64087,0.00546,0.93879,0.88571,0.93569,0.80018,0.59599,0.3738,0.00412,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262
20,726.49,0.96263,0.63442,0.0054,0.91578,0.88503,0.92566,0.79285,0.61229,0.37388,0.00427,0.0144198,0.00480661,0.0144198,0.00480661,0.0144198,0.00480661,0.0144198,0.00480661
21,762.034,0.95464,0.62273,0.00532,0.94859,0.89227,0.94484,0.81128,0.62149,0.36206,0.00425,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603
22,797.854,0.95697,0.60635,0.00532,0.91352,0.90613,0.93803,0.81178,0.57337,0.35594,0.00403,0.0142933,0.00476445,0.0142933,0.00476445,0.0142933,0.00476445,0.0142933,0.00476445
