epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.751,1.2616,5.41225,0.00753,0.37083,0.1194,0.0885,0.067,0.89818,4.77395,0.00609,0.00496377,0.00165459,0.00496377,0.00165459,0.071872,0.0685628,0.00496377,0.00165459
2,82.9869,1.22829,3.26111,0.00718,0.51094,0.44867,0.45287,0.35427,0.88587,2.9752,0.00599,0.00996269,0.0033209,0.00996269,0.0033209,0.0435376,0.0368958,0.00996269,0.0033209
3,119.029,1.19726,2.24178,0.00689,0.58907,0.5471,0.59989,0.47385,0.86289,2.10763,0.00586,0.0149573,0.00498576,0.0149573,0.00498576,0.0151988,0.0052273,0.0149573,0.00498576
4,155.108,1.1768,1.71502,0.00678,0.74266,0.7108,0.77838,0.62224,0.82817,1.36994,0.00552,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512
5,191.42,1.13423,1.3652,0.00651,0.72779,0.73203,0.79072,0.63557,0.81214,1.13995,0.00543,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132
6,227.843,1.11651,1.14234,0.00644,0.8229,0.77549,0.83755,0.68728,0.7617,0.88059,0.00517,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
7,263.932,1.09139,1.00328,0.00631,0.82409,0.7831,0.86227,0.69216,0.78981,0.7438,0.00524,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048
8,299.248,1.08229,0.91925,0.00616,0.80611,0.80425,0.83916,0.69562,0.76709,0.80711,0.00533,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345
9,335.574,1.05767,0.84606,0.00608,0.83888,0.84608,0.87691,0.73607,0.7083,0.69972,0.00479,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534
10,371.729,1.05921,0.80416,0.00598,0.8506,0.82063,0.87925,0.73231,0.71608,0.57138,0.00486,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616
11,408.271,1.04544,0.76453,0.00593,0.87998,0.84532,0.89739,0.75497,0.68765,0.53794,0.00461,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592
12,444.437,1.01984,0.7209,0.00589,0.87227,0.84332,0.89329,0.76287,0.66224,0.50488,0.0045,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461
13,480.723,1.02213,0.73004,0.0058,0.83671,0.87291,0.89437,0.74953,0.71675,0.53876,0.00502,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224
14,517.326,1.00625,0.68734,0.00569,0.90219,0.83304,0.89474,0.75687,0.68276,0.50125,0.00459,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883
