epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,66.8187,1.3014,4.16793,0.00783,0.53837,0.48627,0.50395,0.40161,0.8311,1.65318,0.0056,0.00498168,0.00166056,0.00498168,0.00166056,0.0717705,0.0684493,0.00498168,0.00166056
2,120.618,1.13516,1.46223,0.00659,0.70249,0.69812,0.75557,0.61737,0.76658,0.94143,0.00512,0.0099806,0.00332687,0.0099806,0.00332687,0.043436,0.0367823,0.0099806,0.00332687
3,174.428,1.09232,1.08985,0.00628,0.77756,0.78598,0.83994,0.68626,0.75272,0.74772,0.00504,0.0149752,0.00499173,0.0149752,0.00499173,0.0150973,0.00511383,0.0149752,0.00499173
4,227.466,1.08795,0.9686,0.00631,0.83107,0.81332,0.86998,0.7141,0.74182,0.62983,0.00501,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512
5,280.629,1.06023,0.86599,0.00615,0.88504,0.85688,0.91634,0.77648,0.64773,0.5113,0.00439,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132
6,333.436,1.0319,0.80558,0.00607,0.89007,0.86781,0.92068,0.77567,0.68207,0.48317,0.00462,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
7,386.51,1.02657,0.75402,0.00597,0.88673,0.89406,0.92768,0.79784,0.6168,0.42944,0.00418,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048
8,439.85,1.00879,0.71984,0.0058,0.91913,0.88796,0.9384,0.8043,0.62313,0.40667,0.00421,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345
9,493.377,0.98815,0.70014,0.00572,0.91667,0.8849,0.94137,0.79684,0.64993,0.41597,0.00439,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534
10,546.096,0.97518,0.65659,0.00561,0.90206,0.89313,0.94142,0.79374,0.65217,0.40632,0.00438,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616
11,599.633,0.95633,0.6434,0.00548,0.91204,0.90293,0.94452,0.80385,0.63391,0.4148,0.00421,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592
12,652.613,0.93592,0.63066,0.00542,0.91755,0.91504,0.94716,0.81981,0.59334,0.36643,0.00404,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461
13,705.958,0.92779,0.61354,0.00528,0.90071,0.90808,0.92785,0.78698,0.65975,0.41781,0.00444,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224
14,759.251,0.91076,0.58922,0.0052,0.93408,0.91217,0.9524,0.82084,0.60027,0.35408,0.00411,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883
15,812.51,0.90354,0.59057,0.00514,0.89056,0.93103,0.94816,0.82029,0.60474,0.35918,0.00399,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437
16,864.205,0.90652,0.57932,0.00513,0.93767,0.89527,0.94035,0.815,0.58877,0.35732,0.00393,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886
17,917.49,0.88858,0.55276,0.00501,0.92643,0.90318,0.94728,0.82962,0.56954,0.33913,0.00382,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233
18,970.6,0.87301,0.53737,0.00491,0.93227,0.91359,0.94604,0.82927,0.56014,0.32348,0.00375,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477
19,1024.28,0.86835,0.5314,0.00492,0.93234,0.91962,0.95279,0.83228,0.56444,0.3217,0.00372,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262
20,1077.2,0.8576,0.51506,0.00489,0.91236,0.92869,0.94354,0.82458,0.56413,0.3294,0.00372,0.0144198,0.00480661,0.0144198,0.00480661,0.0144198,0.00480661,0.0144198,0.00480661
21,1130.21,0.85526,0.5161,0.00482,0.93885,0.90579,0.95557,0.83878,0.55728,0.3218,0.00368,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603
22,1183.32,0.8517,0.50634,0.0048,0.93418,0.89771,0.93733,0.82672,0.53806,0.31419,0.0036,0.0142933,0.00476445,0.0142933,0.00476445,0.0142933,0.00476445,0.0142933,0.00476445
23,1236.54,0.85145,0.49943,0.00477,0.91657,0.9185,0.93621,0.82823,0.54254,0.31627,0.00359,0.0142257,0.00474189,0.0142257,0.00474189,0.0142257,0.00474189,0.0142257,0.00474189
24,1290.1,0.83635,0.48291,0.00474,0.92989,0.91354,0.94459,0.83656,0.53895,0.29629,0.00357,0.0141551,0.00471835,0.0141551,0.00471835,0.0141551,0.00471835,0.0141551,0.00471835
25,1342.39,0.83473,0.48429,0.00472,0.93428,0.90009,0.93336,0.82922,0.53397,0.31297,0.00356,0.0140816,0.00469386,0.0140816,0.00469386,0.0140816,0.00469386,0.0140816,0.00469386
26,1395.2,0.82694,0.47504,0.00464,0.94133,0.89777,0.94803,0.84264,0.543,0.29564,0.00363,0.0140052,0.00466841,0.0140052,0.00466841,0.0140052,0.00466841,0.0140052,0.00466841
27,1448,0.82247,0.47181,0.00454,0.93282,0.92552,0.95992,0.856,0.52078,0.30137,0.00344,0.0139261,0.00464203,0.0139261,0.00464203,0.0139261,0.00464203,0.0139261,0.00464203
28,1500.85,0.82181,0.47693,0.00463,0.95023,0.90985,0.95074,0.84463,0.52374,0.29179,0.00345,0.0138441,0.00461471,0.0138441,0.00461471,0.0138441,0.00461471,0.0138441,0.00461471
29,1553.95,0.8085,0.46022,0.00454,0.94308,0.90878,0.9578,0.84753,0.52652,0.29687,0.00351,0.0137594,0.00458648,0.0137594,0.00458648,0.0137594,0.00458648,0.0137594,0.00458648
30,1607.01,0.80649,0.45465,0.00456,0.94779,0.93473,0.96045,0.85082,0.53941,0.29831,0.00354,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734
31,1660.3,0.79967,0.44251,0.00445,0.94212,0.92418,0.95968,0.85946,0.50708,0.28341,0.00335,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732
32,1714.02,0.80233,0.45412,0.00443,0.93908,0.91701,0.94688,0.83633,0.54443,0.30399,0.00356,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641
33,1767.07,0.78459,0.43156,0.00439,0.93066,0.93737,0.95348,0.84582,0.52747,0.28553,0.00349,0.0133939,0.00446464,0.0133939,0.00446464,0.0133939,0.00446464,0.0133939,0.00446464
34,1820.66,0.78984,0.44233,0.00442,0.95391,0.93046,0.96224,0.85864,0.51,0.27747,0.00338,0.0132961,0.00443202,0.0132961,0.00443202,0.0132961,0.00443202,0.0132961,0.00443202
35,1873.04,0.77747,0.4313,0.00437,0.93969,0.9274,0.95445,0.85099,0.51768,0.27958,0.00344,0.0131957,0.00439856,0.0131957,0.00439856,0.0131957,0.00439856,0.0131957,0.00439856
36,1925.99,0.78226,0.43539,0.00431,0.90725,0.93867,0.94234,0.84165,0.5139,0.27182,0.0034,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428
37,1979.22,0.76397,0.4265,0.00433,0.94459,0.93122,0.95709,0.85355,0.51711,0.26699,0.00346,0.0129876,0.0043292,0.0129876,0.0043292,0.0129876,0.0043292,0.0129876,0.0043292
38,2032.98,0.76835,0.42365,0.0043,0.9631,0.92783,0.96187,0.8605,0.50659,0.27218,0.00338,0.01288,0.00429332,0.01288,0.00429332,0.01288,0.00429332,0.01288,0.00429332
39,2086,0.75835,0.41463,0.00424,0.9304,0.9394,0.95222,0.85449,0.50766,0.28084,0.00335,0.01277,0.00425667,0.01277,0.00425667,0.01277,0.00425667,0.01277,0.00425667
40,2139.86,0.76211,0.41356,0.00421,0.94468,0.93497,0.95886,0.8606,0.51062,0.27173,0.00339,0.0126578,0.00421925,0.0126578,0.00421925,0.0126578,0.00421925,0.0126578,0.00421925
41,2192.51,0.76118,0.40949,0.00424,0.95562,0.90741,0.95471,0.85846,0.5034,0.27271,0.00335,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811
42,2246.11,0.75023,0.39678,0.00423,0.94943,0.92115,0.95369,0.86027,0.49029,0.2631,0.00325,0.0124266,0.00414222,0.0124266,0.00414222,0.0124266,0.00414222,0.0124266,0.00414222
43,2299.74,0.74999,0.40516,0.0042,0.94095,0.93261,0.95115,0.85813,0.49447,0.26324,0.0033,0.0123079,0.00410262,0.0123079,0.00410262,0.0123079,0.00410262,0.0123079,0.00410262
44,2353.14,0.74362,0.3946,0.00411,0.94751,0.91939,0.93741,0.85018,0.48495,0.26867,0.00318,0.012187,0.00406234,0.012187,0.00406234,0.012187,0.00406234,0.012187,0.00406234
45,2406.69,0.74262,0.39051,0.00411,0.93502,0.92026,0.94053,0.8463,0.49919,0.26998,0.00329,0.0120641,0.00402138,0.0120641,0.00402138,0.0120641,0.00402138,0.0120641,0.00402138
46,2460.17,0.73462,0.38902,0.00411,0.94603,0.91992,0.94879,0.85957,0.48717,0.26191,0.0032,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977
47,2514.14,0.73397,0.3831,0.00409,0.94424,0.93595,0.96073,0.86909,0.4927,0.26325,0.00325,0.0118125,0.00393752,0.0118125,0.00393752,0.0118125,0.00393752,0.0118125,0.00393752
48,2567.9,0.73814,0.39382,0.00405,0.96632,0.90822,0.94678,0.85731,0.48605,0.26281,0.00317,0.0116839,0.00389464,0.0116839,0.00389464,0.0116839,0.00389464,0.0116839,0.00389464
49,2621.11,0.73388,0.38177,0.00406,0.95392,0.92394,0.93824,0.84937,0.48725,0.26361,0.00321,0.0115535,0.00385117,0.0115535,0.00385117,0.0115535,0.00385117,0.0115535,0.00385117
50,2673.88,0.72689,0.37641,0.00402,0.92827,0.9291,0.94969,0.85547,0.48829,0.26479,0.00318,0.0114214,0.00380712,0.0114214,0.00380712,0.0114214,0.00380712,0.0114214,0.00380712
