epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1091.34,0.90676,0.55458,0.00511,0.92338,0.88716,0.91883,0.80564,0.55343,0.37799,0.00363,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734
31,1127.46,0.91839,0.5578,0.00511,0.91292,0.88693,0.92419,0.80972,0.55304,0.38124,0.00358,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732
32,1163.79,0.8992,0.54195,0.00507,0.9261,0.89367,0.93088,0.81187,0.56864,0.40185,0.00368,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641
33,1199.61,0.92147,0.55557,0.00509,0.9233,0.88969,0.92703,0.81201,0.55463,0.3903,0.00366,0.0133939,0.00446464,0.0133939,0.00446464,0.0133939,0.00446464,0.0133939,0.00446464
34,1235.84,0.91352,0.55509,0.00507,0.92036,0.88785,0.92945,0.81116,0.56158,0.38053,0.00366,0.0132961,0.00443202,0.0132961,0.00443202,0.0132961,0.00443202,0.0132961,0.00443202
35,1271.99,0.89376,0.5317,0.00499,0.93403,0.88727,0.93248,0.81832,0.54487,0.36742,0.00356,0.0131957,0.00439856,0.0131957,0.00439856,0.0131957,0.00439856,0.0131957,0.00439856
36,1307.75,0.89516,0.5288,0.00507,0.92346,0.87944,0.91732,0.80618,0.55393,0.37388,0.00367,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428
37,1344.02,0.897,0.53204,0.00502,0.92136,0.88539,0.92072,0.81048,0.56491,0.38233,0.00374,0.0129876,0.0043292,0.0129876,0.0043292,0.0129876,0.0043292,0.0129876,0.0043292
38,1380.22,0.88629,0.52193,0.0049,0.92594,0.88384,0.91729,0.81293,0.5404,0.3921,0.00357,0.01288,0.00429332,0.01288,0.00429332,0.01288,0.00429332,0.01288,0.00429332
39,1416.54,0.88315,0.52168,0.00488,0.9313,0.88435,0.92718,0.82058,0.53428,0.37374,0.00348,0.01277,0.00425667,0.01277,0.00425667,0.01277,0.00425667,0.01277,0.00425667
40,1453.07,0.88674,0.52501,0.00489,0.92537,0.89782,0.93033,0.82507,0.53081,0.35813,0.00344,0.0126578,0.00421925,0.0126578,0.00421925,0.0126578,0.00421925,0.0126578,0.00421925
41,1489.41,0.87221,0.50415,0.00487,0.91318,0.89401,0.9204,0.81585,0.52987,0.37436,0.00342,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811
42,1525.49,0.87849,0.51448,0.0049,0.9325,0.89385,0.93315,0.8309,0.51904,0.35306,0.00341,0.0124266,0.00414222,0.0124266,0.00414222,0.0124266,0.00414222,0.0124266,0.00414222
43,1561.68,0.8678,0.4998,0.00487,0.92377,0.90517,0.92689,0.82113,0.52987,0.3731,0.00347,0.0123079,0.00410262,0.0123079,0.00410262,0.0123079,0.00410262,0.0123079,0.00410262
44,1598.36,0.86939,0.50446,0.00479,0.93476,0.88884,0.92716,0.82511,0.52034,0.37427,0.00342,0.012187,0.00406234,0.012187,0.00406234,0.012187,0.00406234,0.012187,0.00406234
45,1634.59,0.85526,0.49422,0.00472,0.9315,0.88294,0.92702,0.8191,0.54268,0.3577,0.00353,0.0120641,0.00402138,0.0120641,0.00402138,0.0120641,0.00402138,0.0120641,0.00402138
46,1670.71,0.8485,0.48654,0.00476,0.92565,0.89375,0.9319,0.83355,0.51877,0.36469,0.00338,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977
47,1707.06,0.84701,0.48112,0.00465,0.93064,0.89265,0.93864,0.83437,0.52691,0.35985,0.00345,0.0118125,0.00393752,0.0118125,0.00393752,0.0118125,0.00393752,0.0118125,0.00393752
48,1743.17,0.84681,0.48348,0.00462,0.93385,0.90055,0.93347,0.83814,0.50629,0.34582,0.00333,0.0116839,0.00389464,0.0116839,0.00389464,0.0116839,0.00389464,0.0116839,0.00389464
49,1779.16,0.83984,0.47978,0.00467,0.92856,0.89431,0.93019,0.83126,0.51503,0.35742,0.00335,0.0115535,0.00385117,0.0115535,0.00385117,0.0115535,0.00385117,0.0115535,0.00385117
