epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,70.2808,1.29186,4.05528,0.00782,0.53181,0.48036,0.47774,0.38216,0.84454,1.78724,0.00573,0.00498188,0.00166063,0.00498188,0.00166063,0.0717693,0.0684481,0.00498188,0.00166063
2,127.565,1.12211,1.43911,0.00658,0.74814,0.65672,0.75138,0.60998,0.78987,0.96703,0.00538,0.0099808,0.00332693,0.0099808,0.00332693,0.0434349,0.036781,0.0099808,0.00332693
3,182.646,1.08307,1.07087,0.00632,0.80632,0.72401,0.8114,0.67131,0.74072,0.77801,0.00511,0.0149754,0.00499179,0.0149754,0.00499179,0.0150962,0.00511257,0.0149754,0.00499179
4,237.874,1.0843,0.94709,0.00628,0.79143,0.74764,0.81964,0.67288,0.76086,0.77095,0.00526,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512
5,293.292,1.04238,0.86225,0.00607,0.80561,0.79213,0.85818,0.70374,0.75203,0.70695,0.00516,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132
6,348.664,1.02998,0.78697,0.00604,0.86233,0.84799,0.89478,0.75525,0.69746,0.538,0.00484,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
7,403.344,1.01351,0.74096,0.00589,0.82093,0.8575,0.88714,0.75918,0.65853,0.54056,0.00458,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048
8,458.433,0.99005,0.6957,0.00576,0.91263,0.88054,0.93686,0.80556,0.63535,0.46858,0.00437,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345
9,513.755,0.97942,0.67932,0.00572,0.888,0.87581,0.91599,0.76882,0.69957,0.51548,0.00479,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534
10,569.189,0.9703,0.64709,0.00552,0.89811,0.84533,0.91685,0.75962,0.73017,0.5076,0.00502,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616
11,623.402,0.93459,0.60913,0.00535,0.89985,0.89501,0.93448,0.80268,0.62979,0.43448,0.00427,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592
12,678.313,0.92826,0.61156,0.00533,0.89851,0.87919,0.92458,0.79527,0.63012,0.41516,0.00434,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461
13,733.028,0.91227,0.59379,0.0052,0.92207,0.88919,0.93128,0.80376,0.63451,0.41235,0.00427,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224
14,788.673,0.90557,0.58425,0.00517,0.8905,0.89345,0.92667,0.81111,0.58984,0.40132,0.00407,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883
15,843.672,0.8976,0.582,0.00509,0.91105,0.86345,0.9192,0.80359,0.60486,0.42193,0.00417,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437
16,898.935,0.89769,0.57766,0.00508,0.94165,0.88727,0.94278,0.82758,0.5917,0.38628,0.00405,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886
17,954.563,0.87283,0.54446,0.00499,0.91431,0.90493,0.93914,0.8276,0.58012,0.38743,0.00396,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233
18,1009.64,0.86549,0.53381,0.00492,0.9309,0.87201,0.92984,0.81873,0.58585,0.3894,0.00397,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477
19,1065.01,0.85605,0.5145,0.00489,0.90228,0.90138,0.922,0.8109,0.5922,0.38611,0.00408,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262
