epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1631.51,0.79794,0.45883,0.0045,0.92699,0.9241,0.9475,0.84841,0.50262,0.33861,0.00334,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734
31,1685.19,0.79449,0.44918,0.00443,0.91922,0.91001,0.93653,0.83672,0.49944,0.34326,0.00334,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732
32,1739.06,0.78047,0.44521,0.00438,0.92479,0.90431,0.9342,0.83039,0.52716,0.34243,0.00348,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641
33,1792.78,0.7857,0.44194,0.00437,0.94076,0.89347,0.93318,0.83877,0.49442,0.33732,0.00327,0.0133939,0.00446464,0.0133939,0.00446464,0.0133939,0.00446464,0.0133939,0.00446464
34,1846.57,0.78522,0.43585,0.00436,0.94035,0.8956,0.93626,0.83919,0.49714,0.34352,0.00328,0.0132961,0.00443202,0.0132961,0.00443202,0.0132961,0.00443202,0.0132961,0.00443202
35,1900.97,0.7687,0.42333,0.00432,0.94107,0.90411,0.93745,0.84554,0.49347,0.34081,0.00326,0.0131957,0.00439856,0.0131957,0.00439856,0.0131957,0.00439856,0.0131957,0.00439856
36,1954.94,0.76692,0.42027,0.00433,0.93202,0.9133,0.94161,0.8457,0.49887,0.32317,0.00331,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428,0.0130929,0.00436428
37,2009.29,0.77658,0.43645,0.00432,0.93318,0.92478,0.95247,0.85199,0.51096,0.33413,0.00338,0.0129876,0.0043292,0.0129876,0.0043292,0.0129876,0.0043292,0.0129876,0.0043292
38,2062.96,0.77042,0.42005,0.00425,0.94681,0.90226,0.94125,0.85204,0.48393,0.33751,0.0032,0.01288,0.00429332,0.01288,0.00429332,0.01288,0.00429332,0.01288,0.00429332
39,2117.19,0.75696,0.41308,0.00424,0.9457,0.89803,0.93409,0.84548,0.48485,0.35215,0.00322,0.01277,0.00425667,0.01277,0.00425667,0.01277,0.00425667,0.01277,0.00425667
40,2171.49,0.76493,0.42266,0.00422,0.9465,0.90551,0.93757,0.84675,0.48576,0.3243,0.00321,0.0126578,0.00421925,0.0126578,0.00421925,0.0126578,0.00421925,0.0126578,0.00421925
41,2224.95,0.74718,0.40138,0.00421,0.93113,0.90285,0.93064,0.84084,0.48683,0.3396,0.00321,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811,0.0125433,0.0041811
42,2279.05,0.75161,0.40386,0.00417,0.94475,0.9057,0.93516,0.84832,0.48404,0.33226,0.00318,0.0124266,0.00414222,0.0124266,0.00414222,0.0124266,0.00414222,0.0124266,0.00414222
43,2332.97,0.75552,0.40698,0.00425,0.93387,0.91192,0.93955,0.85081,0.47483,0.30971,0.00317,0.0123079,0.00410262,0.0123079,0.00410262,0.0123079,0.00410262,0.0123079,0.00410262
44,2386.74,0.74142,0.39392,0.00407,0.95639,0.91002,0.93689,0.84631,0.48429,0.32699,0.0032,0.012187,0.00406234,0.012187,0.00406234,0.012187,0.00406234,0.012187,0.00406234
45,2440.98,0.75242,0.40038,0.00411,0.94417,0.91284,0.94347,0.85141,0.48953,0.33023,0.00322,0.0120641,0.00402138,0.0120641,0.00402138,0.0120641,0.00402138,0.0120641,0.00402138
46,2494.83,0.73379,0.38776,0.0041,0.94411,0.91308,0.93671,0.85003,0.47719,0.32969,0.00314,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977,0.0119393,0.00397977
47,2548.71,0.73718,0.38255,0.00407,0.94192,0.9173,0.9401,0.85355,0.47608,0.3187,0.00314,0.0118125,0.00393752,0.0118125,0.00393752,0.0118125,0.00393752,0.0118125,0.00393752
48,2602.7,0.73267,0.38577,0.004,0.93222,0.91093,0.93723,0.85038,0.47318,0.32964,0.00314,0.0116839,0.00389464,0.0116839,0.00389464,0.0116839,0.00389464,0.0116839,0.00389464
49,2655.99,0.71603,0.3712,0.004,0.93691,0.91407,0.93552,0.85028,0.47335,0.33521,0.00312,0.0115535,0.00385117,0.0115535,0.00385117,0.0115535,0.00385117,0.0115535,0.00385117
50,2709.81,0.72765,0.37974,0.00399,0.93108,0.92419,0.9418,0.85626,0.46828,0.31969,0.00308,0.0114214,0.00380712,0.0114214,0.00380712,0.0114214,0.00380712,0.0114214,0.00380712
51,2763.71,0.72852,0.37831,0.00399,0.95116,0.92395,0.94458,0.85799,0.46772,0.31369,0.00309,0.0112875,0.0037625,0.0112875,0.0037625,0.0112875,0.0037625,0.0112875,0.0037625
52,2818.06,0.71575,0.36803,0.00394,0.94237,0.92477,0.94572,0.86041,0.46768,0.31073,0.0031,0.011152,0.00371734,0.011152,0.00371734,0.011152,0.00371734,0.011152,0.00371734
53,2871.71,0.7137,0.36889,0.00396,0.95525,0.92004,0.94238,0.85445,0.47677,0.32998,0.00316,0.011015,0.00367166,0.011015,0.00367166,0.011015,0.00367166,0.011015,0.00367166
54,2923.99,0.71054,0.36488,0.00396,0.95674,0.91828,0.94915,0.86008,0.47544,0.31954,0.00313,0.0108764,0.00362547,0.0108764,0.00362547,0.0108764,0.00362547,0.0108764,0.00362547
55,2978.27,0.69717,0.3658,0.0039,0.95572,0.9168,0.94726,0.86023,0.46617,0.3178,0.0031,0.0107364,0.0035788,0.0107364,0.0035788,0.0107364,0.0035788,0.0107364,0.0035788
56,3031.62,0.70413,0.35902,0.00392,0.93124,0.93323,0.94567,0.85706,0.4807,0.31442,0.00316,0.010595,0.00353167,0.010595,0.00353167,0.010595,0.00353167,0.010595,0.00353167
57,3085.89,0.70356,0.35406,0.00381,0.94619,0.91767,0.94383,0.85692,0.4764,0.32904,0.00312,0.0104523,0.0034841,0.0104523,0.0034841,0.0104523,0.0034841,0.0104523,0.0034841
58,3139.55,0.69715,0.35405,0.00388,0.91795,0.93759,0.94169,0.85982,0.46922,0.33184,0.00307,0.0103083,0.00343611,0.0103083,0.00343611,0.0103083,0.00343611,0.0103083,0.00343611
59,3193.84,0.68845,0.34488,0.00379,0.92679,0.93795,0.9502,0.86763,0.46846,0.32315,0.0031,0.0101631,0.00338772,0.0101631,0.00338772,0.0101631,0.00338772,0.0101631,0.00338772
60,3247.34,0.68591,0.34114,0.00384,0.94682,0.91884,0.94964,0.8636,0.46798,0.31652,0.00308,0.0100168,0.00333894,0.0100168,0.00333894,0.0100168,0.00333894,0.0100168,0.00333894
61,3301.33,0.68442,0.33767,0.00379,0.93606,0.93053,0.9513,0.86653,0.46629,0.31429,0.00307,0.00986945,0.00328982,0.00986945,0.00328982,0.00986945,0.00328982,0.00986945,0.00328982
62,3355.32,0.68208,0.33922,0.00377,0.95209,0.93045,0.95536,0.8678,0.46919,0.30524,0.00309,0.00972106,0.00324035,0.00972106,0.00324035,0.00972106,0.00324035,0.00972106,0.00324035
63,3409.54,0.68487,0.33621,0.00374,0.93299,0.93742,0.95085,0.86475,0.46629,0.31283,0.00307,0.00957173,0.00319058,0.00957173,0.00319058,0.00957173,0.00319058,0.00957173,0.00319058
64,3463.51,0.67455,0.33453,0.00371,0.9625,0.92142,0.95236,0.86856,0.46505,0.32817,0.00307,0.00942152,0.00314051,0.00942152,0.00314051,0.00942152,0.00314051,0.00942152,0.00314051
65,3517.56,0.68023,0.32972,0.00369,0.9641,0.91992,0.94987,0.8695,0.45984,0.3278,0.00304,0.00927051,0.00309017,0.00927051,0.00309017,0.00927051,0.00309017,0.00927051,0.00309017
66,3571.65,0.67767,0.33454,0.00373,0.95712,0.93503,0.95529,0.87276,0.46015,0.31255,0.00303,0.00911874,0.00303958,0.00911874,0.00303958,0.00911874,0.00303958,0.00911874,0.00303958
67,3625.9,0.67044,0.32535,0.00368,0.94983,0.93874,0.95465,0.87384,0.45761,0.32045,0.00301,0.00896631,0.00298877,0.00896631,0.00298877,0.00896631,0.00298877,0.00896631,0.00298877
68,3679.38,0.67019,0.32751,0.00369,0.95699,0.9285,0.95317,0.87173,0.45921,0.32191,0.00301,0.00881326,0.00293775,0.00881326,0.00293775,0.00881326,0.00293775,0.00881326,0.00293775
69,3733.09,0.67292,0.32648,0.00362,0.95934,0.92369,0.95313,0.87321,0.45711,0.31879,0.003,0.00865967,0.00288656,0.00865967,0.00288656,0.00865967,0.00288656,0.00865967,0.00288656
