epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,64.9134,1.29773,4.08402,0.00789,0.53761,0.50047,0.45779,0.36694,0.82967,1.71118,0.0056,0.00498175,0.00166058,0.00498175,0.00166058,0.0717701,0.0684489,0.00498175,0.00166058
2,119.581,1.13997,1.44724,0.00668,0.74927,0.72456,0.78219,0.65284,0.68878,0.82503,0.00461,0.00998067,0.00332689,0.00998067,0.00332689,0.0434357,0.0367819,0.00998067,0.00332689
3,172.109,1.08097,1.06678,0.00625,0.77652,0.72821,0.79456,0.65782,0.72304,0.7776,0.00491,0.0149752,0.00499175,0.0149752,0.00499175,0.0150969,0.0051134,0.0149752,0.00499175
4,225.351,1.08323,0.97279,0.0063,0.79636,0.74514,0.79889,0.66569,0.72251,0.74496,0.00493,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512
5,278.567,1.05636,0.85511,0.00611,0.81479,0.80749,0.84829,0.70425,0.70707,0.69899,0.00479,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132
6,332.091,1.03908,0.80566,0.00608,0.77388,0.78661,0.8284,0.66557,0.80358,0.72028,0.00534,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
7,385.469,1.024,0.76168,0.00593,0.833,0.80344,0.84788,0.69919,0.71421,0.60853,0.00489,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048
8,438.383,0.9974,0.69646,0.00575,0.89275,0.85783,0.90324,0.77133,0.64887,0.47624,0.0044,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345
9,491.62,0.98936,0.67485,0.00569,0.84714,0.87252,0.88966,0.76199,0.62722,0.46388,0.00427,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534
10,545.07,0.97284,0.65854,0.00553,0.89044,0.85894,0.90033,0.76673,0.6344,0.49388,0.00427,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616
11,598.478,0.95317,0.63271,0.00541,0.88719,0.86876,0.90992,0.7766,0.63146,0.45457,0.00419,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592
12,651.625,0.93029,0.60721,0.00531,0.87695,0.87314,0.90094,0.766,0.65638,0.46362,0.0044,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461
13,704.933,0.91415,0.59402,0.00523,0.8829,0.85126,0.89128,0.78276,0.57748,0.45027,0.00397,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224
14,757.802,0.90631,0.58646,0.00514,0.89945,0.88218,0.9104,0.79136,0.58925,0.43628,0.00407,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883
15,811.673,0.895,0.57259,0.00506,0.89047,0.87916,0.91565,0.79102,0.59233,0.42682,0.00397,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437
16,864.315,0.89077,0.56779,0.00505,0.90128,0.85106,0.9015,0.78072,0.60068,0.45093,0.00407,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886,0.0146366,0.00487886
17,917.662,0.8813,0.54899,0.00495,0.9105,0.87757,0.91963,0.80149,0.58051,0.40693,0.00396,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233,0.014587,0.00486233
18,971.231,0.87449,0.54184,0.00495,0.91169,0.86859,0.91001,0.78189,0.63223,0.41071,0.00417,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477,0.0145343,0.00484477
19,1024.37,0.86932,0.53767,0.00487,0.93258,0.87433,0.93078,0.8031,0.61094,0.37181,0.00409,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262,0.0144786,0.0048262
20,1077.57,0.85532,0.52209,0.00481,0.91469,0.86457,0.91111,0.80324,0.56178,0.39876,0.00377,0.0144198,0.00480661,0.0144198,0.00480661,0.0144198,0.00480661,0.0144198,0.00480661
21,1130.54,0.85487,0.50553,0.00477,0.92263,0.89122,0.92422,0.78962,0.6187,0.3958,0.00422,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603,0.0143581,0.00478603
22,1182.87,0.84068,0.49431,0.00472,0.90586,0.89296,0.93145,0.8057,0.5955,0.38428,0.00407,0.0142933,0.00476445,0.0142933,0.00476445,0.0142933,0.00476445,0.0142933,0.00476445
23,1235.88,0.83452,0.48539,0.00473,0.90266,0.89708,0.92382,0.80658,0.584,0.39081,0.00389,0.0142257,0.00474189,0.0142257,0.00474189,0.0142257,0.00474189,0.0142257,0.00474189
24,1288.31,0.84006,0.49407,0.00472,0.90285,0.88593,0.92585,0.80833,0.5819,0.3803,0.00389,0.0141551,0.00471835,0.0141551,0.00471835,0.0141551,0.00471835,0.0141551,0.00471835
25,1341.57,0.83408,0.47983,0.00469,0.94581,0.90436,0.93165,0.82223,0.5514,0.36333,0.00371,0.0140816,0.00469386,0.0140816,0.00469386,0.0140816,0.00469386,0.0140816,0.00469386
26,1394.95,0.81803,0.46405,0.00456,0.92039,0.88091,0.92168,0.82153,0.53559,0.37123,0.00362,0.0140052,0.00466841,0.0140052,0.00466841,0.0140052,0.00466841,0.0140052,0.00466841
27,1447.1,0.81514,0.46326,0.00459,0.91903,0.8969,0.91927,0.82059,0.53797,0.34601,0.0036,0.0139261,0.00464203,0.0139261,0.00464203,0.0139261,0.00464203,0.0139261,0.00464203
28,1500.48,0.81061,0.46108,0.00454,0.91236,0.89846,0.92128,0.82029,0.53238,0.33948,0.00361,0.0138441,0.00461471,0.0138441,0.00461471,0.0138441,0.00461471,0.0138441,0.00461471
29,1553.18,0.80552,0.45827,0.00454,0.94235,0.89354,0.93362,0.82315,0.54851,0.34245,0.00369,0.0137594,0.00458648,0.0137594,0.00458648,0.0137594,0.00458648,0.0137594,0.00458648
30,1606.27,0.793,0.44423,0.00446,0.91888,0.89616,0.92627,0.82475,0.53048,0.34498,0.00359,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734,0.013672,0.00455734
31,1659.91,0.79909,0.44282,0.00444,0.95241,0.89904,0.93534,0.82352,0.55278,0.35745,0.0038,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732,0.013582,0.00452732
32,1713.62,0.79964,0.43962,0.00442,0.90433,0.91645,0.92813,0.8211,0.55207,0.36226,0.00369,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641,0.0134892,0.00449641
